title;n_enrolled;institution;level;subject;language;course_length;price;currency;course_url;;;;;
introduction to linear models and matrix algebra;92004.0;harvard university;intermediate;math;en;4 weeks;149.0;usd;https://www.edx.org/course/introduction-to-linear-models-and-matrix-algebra;;;;;
do your venture: entrepreneurship for everyone;61989.0;indian institute of management bangalore;introductory;business & management;en;6 weeks;150.0;usd;https://www.edx.org/course/do-your-venture-entrepreneurship-for-everyone;;;;;
el valor de la creatividad y la innovaciï¿½ï¿½n: la economï¿½ï¿½a;23728.0;inter-american development bank;introductory;art & culture;es;8 weeks;25.0;usd;https://www.edx.org/course/el-valor-de-la-creatividad-y-la-innovacion-la-economia-naranja;;;;;
humanitarian response to conflict and disaster;119891.0;harvard university;introductory;health & safety;en;5 weeks;99.0;usd;https://www.edx.org/course/humanitarian-response-to-conflict-and-disaster;;;;;
women making history: ten objects; many stories;38939.0;harvard university;introductory;history;en;8 weeks;99.0;usd;https://www.edx.org/course/women-making-history-ten-objects-many-stories;;;;
masterpieces of world literature;88789.0;harvard university;introductory;literature;en;12 weeks;149.0;usd;https://www.edx.org/course/masterpieces-of-world-literature;;;;;
sql for data science;39184.0;ibm;introductory;data analysis & statistics;en;4 weeks;39.0;usd;https://www.edx.org/course/sql-for-data-science;;;;;
el cerebro y las emociones en el lenguaje;41279.0;universidad del rosario;introductory;communication;es;5 weeks;49.0;usd;https://www.edx.org/course/el-cerebro-y-las-emociones-en-el-lenguaje;;;;;
science & cooking: from haute cuisine to soft matter science (physics);62673.0;harvard university;introductory;physics;en;16 weeks;169.0;usd;https://www.edx.org/course/science-cooking-from-haute-cuisine-to-soft-matte-2;;;;;
python: aprender a programar;21613.0;universitat politï¿½ï¿½cnica de vale;introductory;computer science;es;8 weeks;49.0;usd;https://www.edx.org/course/python-aprender-a-programar;;;;;
marketing analytics: competitive analysis and market segmentation;70682.0;university of california, berkeley;intermediate;computer science;en;4 weeks;249.0;usd;https://www.edx.org/course/marketing-analytics-competitive-analysis-and-marke;;;;;
malariax: defeating malaria from the genes to the globe;37598.0;harvard university;intermediate;biology & life sciences;en;8 weeks;49.0;usd;https://www.edx.org/course/malariax-defeating-malaria-from-the-genes-to-the-g;;;;;
entrepreneurship in emerging economies;113602.0;harvard university;introductory;business & management;en;6 weeks;125.0;usd;https://www.edx.org/course/entrepreneurship-in-emerging-economies;;;;;
javascript introduction;160112.0;the world wide web consortium (w3c);introductory;computer science;en;5 weeks;199.0;usd;https://www.edx.org/course/javascript-introduction;;;;;
people management;113592.0;indian institute of management bangalore;introductory;business & management;en;6 weeks;150.0;usd;https://www.edx.org/course/people-management;;;;;
using email for networking in english;57208.0;university of washington;introductory;language;en;4 weeks;149.0;usd;https://www.edx.org/course/using-email-for-networking-in-english;;;;;
databases: relational databases and sql;20502.0;stanford university;introductory;computer science;en;2 weeks;50.0;usd;https://www.edx.org/course/databases-5-sql;;;;;
c programming: getting started;104108.0;dartmouth_imtx-dartmouth college-imt;introductory;computer science;en;7 weeks;49.0;usd;https://www.edx.org/course/c-programming-getting-started;;;;;
supply chain analytics;145049.0;massachusetts institute of technology;introductory;business & management;en;15 weeks;199.0;usd;https://www.edx.org/course/supply-chain-analytics;;;;;
programming for the web with javascript;91406.0;university of pennsylvania;intermediate;computer science;en;4 weeks;149.0;usd;https://www.edx.org/course/programming-for-the-web-with-javascript;;;;;
introduction to digital humanities;37501.0;harvard university;introductory;humanities;en;7 weeks;99.0;usd;https://www.edx.org/course/introduction-to-digital-humanities;;;;;
upper-intermediate english: business and industry;103704.0;universitat politï¿½ï¿½cnica de vale;intermediate;language;en;4 weeks;50.0;usd;https://www.edx.org/course/upper-intermediate-english-business;;;;;
emsat english preparation - level 1;29101.0;united arab emirates university;introductory;language;en;6 weeks;49.0;usd;https://www.edx.org/course/emsat-english-preparation-level-1;;;;;
python for data science;266978.0;the university of california, san diego;advanced;data analysis & statistics;en;10 weeks;350.0;usd;https://www.edx.org/course/python-for-data-science-2;;;;;
empathy and emotional intelligence at work;45867.0;university of california, berkeley;introductory;business & management;en;4 weeks;199.0;usd;https://www.edx.org/course/empathy-and-emotional-intelligence-at-work;;;;;
design thinking and creativity for innovation;47549.0;the university of queensland;intermediate;business & management;en;10 weeks;5.0;usd;https://www.edx.org/course/design-thinking-and-creativity-for-innovation;;;;;
china and communism;69104.0;harvard university;introductory;history;en;15 weeks;139.0;usd;https://www.edx.org/course/china-and-communism;;;;;
mandarin chinese level 1;56040.0;mandarinx;introductory;language;en;6 weeks;149.0;usd;https://www.edx.org/course/mandarin-chinese-level-1;;;;;
introduction to biology - the secret of life;147512.0;massachusetts institute of technology;introductory;biology & life sciences;en;16 weeks;150.0;usd;https://www.edx.org/course/introduction-to-biology-the-secret-of-life-3;;;;;
photoshop: una herramienta para presentaciones innovadoras;22969.0;pontificia universidad javeriana;introductory;art & culture;es;5 weeks;19.0;usd;https://www.edx.org/course/photoshop-una-herramienta-para-presentaciones-in-2;;;;;
causal diagrams: draw your assumptions before your conclusions;50949.0;harvard university;introductory;data analysis & statistics;en;9 weeks;99.0;usd;https://www.edx.org/course/causal-diagrams-draw-your-assumptions-before-your;;;;;
ýýýýýýýýýýýýýýýýýý | conversational english skills;301585.0;tsinghua university;introductory;communication;en;10 weeks;49.0;usd;https://www.edx.org/course/conversational-english-skills;;;;;
shakespeareï¿½ï¿½ï¿½s othello: th;31868.0;harvard university;introductory;humanities;en;4 weeks;49.0;usd;https://www.edx.org/course/shakespeares-othello-the-moor;;;;;
basic spanish 2: one step further;67687.0;universitat politï¿½ï¿½cnica de vale;introductory;language;en;4 weeks;50.0;usd;https://www.edx.org/course/basic-spanish-2-one-step-further;;;;;
