course_title,url,price,num_subscribers,level,content_duration,subject,language
Trade Pullback Candlestick Strategy - Make Consistent Pips,https://www.udemy.com/make-consistent-profit-using-pullback-candlestick-strategy/,200,521,For all,3.0,Business Finance,en
Accounting Standards Basics (Professional Course Level),https://www.udemy.com/basics-of-accounting-standards/,20,2222,For all,0.7,Business Finance,en
Use the Magic Multiple Moving Average Forex Trading system,https://www.udemy.com/the-magic-multiple-moving-average-forex-trading-system/,50,1097,Intermediate,1.0,Business Finance,en
QuickBooks 2015 Training for Newbies,https://www.udemy.com/free-training-quickbooks-2015/,200,2506,Introductory,6.0,Business Finance,en
TRADING PSYCHOLOGY: Trading Mindset Mastery,https://www.udemy.com/trading-psychology-trading-mindset-mastery/,120,975,Intermediate,1.0,Business Finance,en
Option Trading: How to Adjust Delta-Neutral Strangles!,https://www.udemy.com/option-trading-selling-strangles/,145,1398,For all,1.5,Business Finance,en
Profitable binary option trading strategy,https://www.udemy.com/binaryoptions/,195,1096,For all,1.5,Business Finance,en
Tax Strategy: Financial Planning for Beginners,https://www.udemy.com/taxsavingstrategy/,200,1703,For all,2.0,Business Finance,en
Accounting 2 Simplified for You,https://www.udemy.com/accounting-2-simplified-for-you/,45,1446,Introductory,5.0,Business Finance,en
Project Funding Modelling (for Professionals),https://www.udemy.com/project-funding-modelling/,20,2736,For all,1.5,Business Finance,en
Investing: How I Consistently Beat The Stock Market,https://www.udemy.com/beat-the-stock-market/,200,2000,For all,4.5,Business Finance,en
Bookkeeping Basics:  Understand the Fundamentals,https://www.udemy.com/bookkeeping-basics/,75,853,Introductory,4.5,Business Finance,en
Leasing - A Comprehensive Study (Professional Course Level),https://www.udemy.com/leasing-a-comprehensive-study/,20,3094,For all,3.5,Business Finance,en
Trading Options For Consistent Returns: Options Basics,https://www.udemy.com/trading-options-for-income/,0,4077,Introductory,1.5,Business Finance,en
TechniTrader Leading Hybrid Indicator Trading,https://www.udemy.com/leading-hybrid-indicator-trading/,20,4117,Intermediate,1.0,Business Finance,en
Financial modeling: Build a DCF equity valuation model,https://www.udemy.com/guide-to-do-a-step-by-step-discounted-cash-flow-valuation/,20,1369,For all,1.5,Business Finance,it
